Code,产品名称
HSY.US,好时
EW.US,爱德华兹生命科学
KHC.US,卡夫亨氏
MCHP.US,微芯科技
KMB.US,金佰利
LI.US,理想汽车
CPRT.US,科帕特
ABEV.US,安贝夫啤酒
ADM.US,阿彻丹尼尔斯米德兰
CRH.US,CRH水泥
WMB.US,威廉姆斯
AEP.US,美国电力
PAYX.US,沛齐
MSCI.US,Msci
ON.US,安森美半导体
SGEN.US,Seagen
EXC.US,爱克斯龙
D.US,道明尼能源
CCI.US,冠城国际
KVUE.US,Kenvue
COR.US,Cencora
FMX.US,墨西哥经济开发
CRWD.US,CrowdStrike Holdings
STM.US,意法半导体
TEL.US,泰科电子
HLT.US,希尔顿酒店
ALC.US,爱尔康
LNG.US,Cheniere能源
TRV.US,旅行者保险
NUE.US,纽柯钢铁
MRNA.US,Moderna
ROST.US,罗斯百货
GIS.US,通用磨坊
HLN.US,Haleon
JCI.US,江森自控
IBKR.US,盈透证券
COF.US,第一资本金融
CVE.US,Cenovus能源
TRP.US,TC Energy
TTD.US,The Trade Desk
TFC.US,Truist Financial
BIIB.US,渤健
DLR.US,数字房地产信托
CNC.US,康西哥
CM.US,加拿大帝国商业银行
KMI.US,金德尔摩根
DHI.US,霍顿房屋
O.US,Realty Income
SPG.US,西蒙地产
HAL.US,哈里伯顿
CTVA.US,Corteva
VFS.US,VinFast Auto
IQV.US,艾昆纬
BCE.US,加拿大贝尔
IDXX.US,IDEXX实验室
PCG.US,太平洋煤气和电力
BKR.US,Baker Hughes
CEG.US,Constellation Energy
WCN.US,Waste Connections
FWONK.US,Liberty Formula One C
DOW.US,陶氏
CTSH.US,高知特
VRSK.US,Verisk分析
MPLX.US,Mplx
YUM.US,百胜餐饮
LVS.US,金沙集团
PRU.US,保德信金融
AME.US,阿美特克
SYY.US,西斯科
MFC.US,宏利金融
LYG.US,劳埃德银行
AMP.US,阿默普莱斯金融
IMO.US,帝国石油
GWW.US,固安捷
DXCM.US,德康医疗
DD.US,陶氏杜邦
OTIS.US,奥的斯
BK.US,纽约梅隆银行
FIS.US,富达国民信息服务
XEL.US,埃克西尔能源
KR.US,克罗格
LHX.US,L3Harris技术
CMI.US,康明斯
VEEV.US,Veeva Systems
LEN.US,莱纳
A.US,安捷伦科技
NEM.US,纽蒙特
PKX.US,浦项钢铁
ROK.US,罗克韦尔自动化
NU.US,Nu Holdings
MBLY.US,Mobileye Global
EA.US,艺电
CSGP.US,科斯塔
ARES.US,Ares Management
FWONA.US,Liberty Formula One A
GFS.US,Globalfoundries
ORAN.US,法国电信
ED.US,爱迪生联合电气
GPN.US,环汇
FAST.US,快扣
FERG.US,Ferguson
LYB.US,利安德巴塞尔
PUK.US,保诚保险
NTR.US,Nutrien
PPG.US,PPG工业
CPNG.US,Coupang
SPOT.US,Spotify Technology
PLTR.US,Palantir
PEG.US,公共服务企业
ACGL.US,艾奇资本
VICI.US,VICI Properties
DASH.US,Doordash
DVN.US,戴文能源
ALL.US,好事达保险
OKE.US,欧尼克（万欧卡）
URI.US,联合租赁
LEN.B.US,莱纳B类普通
BCS.US,巴克莱银行
ARGX.US,argenx
GEHC.US,GE HealthCare
SLF.US,永明金融
CCEP.US,可口可乐欧洲太平洋
BF.B.US,布朗-福曼B
DDOG.US,Datadog
CHT.US,中华电
IT.US,加特纳
GOLD.US,巴里克黄金
APTV.US,Aptiv
CDW.US,CDW
WIT.US,Wipro
WST.US,西医服务
PWR.US,广达
SQ.US,Block
VOD.US,沃达丰
WBD.US,Warner Bros
FNV.US,弗兰科-内华达
WEC.US,WEC能源集团
FANG.US,Diamondback能源
CQP.US,Cheniere能源合作伙伴
VMC.US,火神材料
GLW.US,康宁
HZNP.US,Horizon Therapeutics
HPQ.US,惠普
NWG.US,NatWest Group
ANSS.US,安西斯
EXR.US,Extra Space Storage
FTV.US,Fortive
EIX.US,爱迪生国际
IR.US,英格索兰
EC.US,哥伦比亚国家石油
AWK.US,美国水业
AVB.US,艾芙隆海湾社区
MLM.US,马丁-玛丽埃塔材料
BNTX.US,BioNTech
TEF.US,西班牙电信
TU.US,泰勒斯
TCOM.US,携程
TLK.US,印尼电信
ZBH.US,齐默巴奥米特控股
SPLK.US,Splunk
AEM.US,伊格尔矿业
DAL.US,达美航空
HUBS.US,Hubspot
MTD.US,梅特勒-托利多
MDB.US,MongoDB
NDAQ.US,纳斯达克
GMAB.US,Genmab
YUMC.US,百胜中国
DG.US,达乐
TROW.US,普信集团
GIB.US,CGI
TTWO.US,双互动软件
RCL.US,皇家加勒比邮轮
CHD.US,丘奇＆德怀特
CBRE.US,世邦魏理仕
KEYS.US,Keysight技术
DLTR.US,美元树
EBAY.US,eBay
WY.US,惠好
ALGN.US,艾利科技
RYAAY.US,瑞安航空
IX.US,欧力士
EQR.US,公平住屋
EFX.US,艾可菲
ZS.US,Zscaler
WTW.US,Willis Towers Watson
HIG.US,哈特福德金融服务
TSCO.US,牵引机供销
CAH.US,卡地纳健康
STE.US,思泰瑞医疗
FICO.US,Fair Isaac
HEI.US,海科航空
DTE.US,DTE能源
XYL.US,赛莱默
ES.US,能源方案
HPE.US,慧与
DB.US,德意志银行
SBAC.US,SBA通信
DFS.US,发现金融
BR.US,布罗德里奇
QSR.US,餐饮品牌国际
STT.US,道富
NOK.US,诺基亚
RCI.US,罗杰斯通信
MPWR.US,Monolithic Power
ALNY.US,阿尔尼拉姆制药
HRL.US,荷美尔食品
RJF.US,瑞杰金融
AEE.US,阿曼瑞恩
ILMN.US,Illumina
TECK.US,泰克资源
MT.US,安赛乐米塔尔
ZM.US,Zoom Video通讯
FE.US,第一能源
MTB.US,美国制商银行
K.US,家乐氏
VRSN.US,威瑞信
ICLR.US,Icon
GPC.US,通用配件
MKC.US,味好美
BRO.US,布朗保险经纪
BEKE.US,贝壳
ETR.US,安特吉
SE.US,冬海集团
MKL.US,Markel Group
BGNE.US,百济神州
GRMN.US,佳明
RMD.US,瑞思迈
BSBR.US,桑坦德银行(巴西)
INVH.US,Invitation Homes
FLT.US,FleetCor科技
ZTO.US,中通快递
FCNCA.US,第一公民银行股份
DOV.US,都福
ALB.US,美国雅保
FTS.US,Fortis
TDY.US,Teledyne
CTRA.US,Coterra Energy
ULTA.US,犹他美容
WPM.US,Wheaton Precious
JBHT.US,JB Hunt运输服务
RIVN.US,Rivian Automotive
MOH.US,Molina Healthcare
NVR.US,NVR
NET.US,Cloudflare
TW.US,Tradeweb Markets
BAX.US,百特国际
WAB.US,美国西屋制动
PHG.US,飞利浦
TRGP.US,Targa Resources
HWM.US,Howmet Aerospace
PPL.US,PPL能源
RTO.US,Rentokil Initial
ROL.US,Rollins
LPLA.US,LPL投资
LYV.US,Live Nation
TS.US,泰纳瑞斯钢铁
WBA.US,沃尔格林联合博姿
LH.US,徕博科
TSN.US,泰森食品
IRM.US,铁山
PFG.US,信安金融
PINS.US,Pinterest
CNP.US,中点能源
OWL.US,Blue Owl
UMC.US,联电
ARE.US,亚历山大房地产
FITB.US,五三银行
LLYVK.US,Liberty Live C
LLYVA.US,Liberty Live A
FSLR.US,第一太阳能
DRI.US,达登饭店
CCJ.US,加拿大铀矿
IFF.US,国际香料香精
SYM.US,Symbotic
HOLX.US,豪洛捷
VTR.US,芬塔
ERIC.US,爱立信
EG.US,Everest Group
EXPD.US,康捷国际物流
COIN.US,Coinbase Global
CINF.US,辛辛那提金融
STLD.US,钢铁动力
WRB.US,WR柏克利
PTC.US,PTC
LUV.US,西南航空
PBA.US,Pembina Pipeline
J.US,雅各布工程
BG.US,邦吉
FDS.US,慧甚
RKT.US,Rocket
ATO.US,ATMOS能源
CMS.US,CMS能源
CLX.US,高乐氏
HUBB.US,哈勃集团
CNHI.US,CNH Industrial
ASX.US,日月光投控
ENPH.US,Enphase Energy
TYL.US,泰勒科技
AKAM.US,阿克迈
COO.US,库珀医疗
BMRN.US,拜玛林制药
CF.US,CF实业
PHM.US,普得集团
KB.US,韩国国民银行
SQM.US,智利矿业化工
CHKP.US,Check Point软件
RF.US,地区金融
WAT.US,沃特世
NTAP.US,美国网存
RPRX.US,Royalty Pharma
MRO.US,马拉松石油
WMG.US,华纳音乐
CCL.US,嘉年华邮轮
RBLX.US,Roblox
IEX.US,IDEX
BALL.US,鲍尔包装
PAYC.US,Paycom Software
SIRI.US,Sirius XM Holdings
WLK.US,Westlake
TXT.US,德事隆
SWKS.US,思佳讯
RS.US,信实钢铝加工
FOXA.US,福克斯A
MGA.US,曼格纳国际
BLDR.US,Builders Firstsource
MAA.US,MAA房产信托
